Country,State,Year,Types Of Coal,Coal Consuming Sectors,Coal Consumed (UOM:t(Tonnes))
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,1.702
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",MIDDLINGS,POWER (CAPTIVE),3.875
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,CEMENT,0.108
India,Bihar,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),17.889
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,BRICKS,0.004
India,Goa,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,0.037
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,METALLURGICAL USE- COKERIES,0.232930682
India,Haryana,"Financial Year (Apr - Mar), 2018",RAW COAL,FERTILISERS,0.342
India,Bihar,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),8.651
India,Bihar,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.007
India,Delhi,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.037
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.066
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.168
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,STEEL (BOILERS),0.004
India,Haryana,"Financial Year (Apr - Mar), 2013",RAW COAL,FERTILISERS,0.508
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,OTHER,1.721
India,Delhi,"Financial Year (Apr - Mar), 2014",MIDDLINGS,POWER (UTILITY),0.023
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.001
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),1.997
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.051
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,CEMENT,0.19
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),48.665
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,TEXTILES & RAYONS,2.557
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,CHEMICAL,0.326
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,CHEMICAL,0.148
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.086
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),12.27
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",RAW COAL,BRICKS,0.007848104
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),0.447
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.586259301
India,Haryana,"Financial Year (Apr - Mar), 2016",RAW COAL,FERTILISERS,0.658
India,Haryana,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.062
India,Delhi,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.004
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,COLLIERY OWN - CONSUMPTION,0.007
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,OTHER,0.061711505
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.015
India,Haryana,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.428
India,Haryana,"Financial Year (Apr - Mar), 2015",RAW COAL,FERTILISERS,0.362
India,Bihar,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.112
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,BRICKS,0.030855753
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.168
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,BRICKS,0.658
India,Goa,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),0.006
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.004
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",MIDDLINGS,METALLURGICAL USE- COKERIES,0.03
India,Haryana,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.016
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.001
India,Haryana,"Financial Year (Apr - Mar), 2012",RAW COAL,FERTILISERS,0.66
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,BRICKS,0.003630089
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,CHEMICAL,0.059
India,Delhi,"Financial Year (Apr - Mar), 2017",MIDDLINGS,POWER (UTILITY),0.045
India,Assam,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.007
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",WASHED COAL,METALLURGICAL USE- COKERIES,0.284961951
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),11.093
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,1.995
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,CHEMICAL,0.120397937
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,BRICKS,0.384
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,CHEMICAL,0.194
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,1.339
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,CHEMICAL,0.831
India,Assam,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.056
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),8.455
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,TEXTILES & RAYONS,0.018755458
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.066
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),11.463
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,STEEL (BOILERS),0.177
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.002
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.478
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.017
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.086
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.621
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.508
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,TEXTILES & RAYONS,0.028
India,Delhi,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),4.279
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.039
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.075
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),16.089
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),38.565
India,Bihar,"Financial Year (Apr - Mar), 2013",RAW COAL,CHEMICAL,0.01
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.022
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.052
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,PULP & PAPER,0.484
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.037
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),1.82
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,TEXTILES & RAYONS,1.723
India,Delhi,"Financial Year (Apr - Mar), 2011",WASHED COAL,POWER (UTILITY),1.599
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,SPONGE IRON,6.758
India,Assam,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.069
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- COKERIES,0.045981122
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.181
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,CHEMICAL,0.072
India,Delhi,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.015
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.192
India,Bihar,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.28
India,Assam,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.072
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.023
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),8.703
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,TEXTILES & RAYONS,0.009680236
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,1.52
India,Bihar,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- COKERIES,0.018
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),22.4896086
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,FERTILISERS,0.001
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,TEXTILES & RAYONS,3.401
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,POWER (UTILITY),0.141573453
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.027
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,POWER (UTILITY),6.292
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,CHEMICAL,1.106
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.298
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.425
India,Delhi,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),0.468
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.256
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.052
India,Delhi,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.131
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.01
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",WASHED COAL,METALLURGICAL USE- COKERIES,0.445
India,Haryana,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.006
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.022
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.065
India,Goa,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),0.012
India,Assam,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.041
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,5.338
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,CHEMICAL,0.222
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),0.456
India,Haryana,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),0.083
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,CHEMICAL,0.562
India,Haryana,"Financial Year (Apr - Mar), 2013",MIDDLINGS,POWER (UTILITY),0.104
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.082
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",MIDDLINGS,POWER (CAPTIVE),3.061
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,BRICKS,0.406
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.325
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,TEXTILES & RAYONS,0.008470207
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.024
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),2.113921566
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),11.379
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),0.102
India,Goa,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,0.017
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.134
India,Assam,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.15
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,SPONGE IRON,0.038
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,2.72861656
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.089
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",RAW COAL,BRICKS,0.011
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.015125369
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.034
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,PULP & PAPER,0.384
India,Haryana,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),11.279
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.204
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.064
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),22.109
India,Haryana,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.008
India,Assam,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.026
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,6.42
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,PULP & PAPER,2.519
India,Assam,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.097
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,5.883
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",RAW COAL,TEXTILES & RAYONS,0.001
India,Delhi,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.015
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.047
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),1.763
India,Haryana,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.516
India,Bihar,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.008
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.364
India,Haryana,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.045
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,FERTILISERS,0.766
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),75.632
India,Haryana,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),0.557
India,Bihar,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.003
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.065946609
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,TEXTILES & RAYONS,0.022
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.468281423
India,Bihar,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.741
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.078
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.011
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.018
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),18.507
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CHEMICAL,0.298
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,POWER (UTILITY),6.174
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),0.068
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",WASHED COAL,SPONGE IRON,2.358
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,1.952382625
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.351
India,Assam,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.055
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,SPONGE IRON,0.003025074
India,Haryana,"Financial Year (Apr - Mar), 2011",WASHED COAL,POWER (UTILITY),0.494
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,SPONGE IRON,0.014
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.025
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,0.16
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.000981013
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.072
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),19.617
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.205
India,Assam,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),0.011
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,BRICKS,0.993
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.038259509
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.424
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),26.20923933
